"unitid","name","city","state","level","control","Undergraduate Program","Graduate Program","Enrollment Profile","Undergraduate Profile","Size & Setting","Basic","Community Engagement","135 results for  Basic = 'Doctoral Universities'"
"202134","Cleveland State University","Cleveland","OH","4-year or above","Public","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, medium full-time , selective, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"231624","College of William and Mary","Williamsburg","VA","4-year or above","Public","Arts & sciences plus professions, some graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","High undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, medium, highly residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"126775","Colorado School of Mines","Golden","CO","4-year or above","Public","Professions focus, high graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, medium, primarily residential","Doctoral Universities: High Research Activity",""
"190567","CUNY City College","New York","NY","4-year or above","Public","Arts & sciences plus professions, high graduate coexistence","Research Doctoral: Single program-Other","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity",""
"130934","Delaware State University","Dover","DE","4-year or above","Public","Balanced arts & sciences/professions, some graduate coexistence","Research Doctoral: Professional-dominant","Very high undergraduate","Four-year, full-time, inclusive, lower transfer-in","Four-year, medium, highly residential","Doctoral Universities: High Research Activity",""
"144740","DePaul University","Chicago","IL","4-year or above","Private not-for-profit","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","Majority undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"212106","Duquesne University","Pittsburgh","PA","4-year or above","Private not-for-profit","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Professional-dominant","Majority undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, medium, highly residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"198464","East Carolina University","Greenville","NC","4-year or above","Public","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"220075","East Tennessee State University","Johnson City","TN","4-year or above","Public","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity",""
"169798","Eastern Michigan University","Ypsilanti","MI","4-year or above","Public","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, medium full-time , selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"133650","Florida Agricultural and Mechanical University","Tallahassee","FL","4-year or above","Public","Balanced arts & sciences/professions, some graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, medium, primarily residential","Doctoral Universities: High Research Activity",""
"133669","Florida Atlantic University","Boca Raton","FL","4-year or above","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, medium full-time , selective, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity",""
"133881","Florida Institute of Technology","Melbourne","FL","4-year or above","Private not-for-profit","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: STEM-dominant","Majority undergraduate","Four-year, full-time, more selective, higher transfer-in","Four-year, medium, highly residential","Doctoral Universities: High Research Activity",""
"191241","Fordham University","Bronx","NY","4-year or above","Private not-for-profit","Arts & sciences plus professions, some graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","Majority undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity",""
"131450","Gallaudet University","Washington","DC","4-year or above","Private not-for-profit","Arts & sciences plus professions, some graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, inclusive, higher transfer-in","Four-year, small, highly residential","Doctoral Universities: High Research Activity",""
"139931","Georgia Southern University","Statesboro","GA","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Professional-dominant","Very high undergraduate","Four-year, full-time, more selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity",""
"232265","Hampton University","Hampton","VA","4-year or above","Private not-for-profit","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, selective, lower transfer-in","Four-year, medium, highly residential","Doctoral Universities: High Research Activity",""
"131520","Howard University","Washington","DC","4-year or above","Private not-for-profit","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Comprehensive programs, with medical/veterinary school","Majority undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, medium, highly residential","Doctoral Universities: High Research Activity",""
"142276","Idaho State University","Pocatello","ID","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","High undergraduate","Four-year, medium full-time, inclusive, higher transfer-in","Four-year, medium, primarily nonresidential","Doctoral Universities: High Research Activity",""
"145725","Illinois Institute of Technology","Chicago","IL","4-year or above","Private not-for-profit","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","Majority graduate","Four-year, full-time, more selective, higher transfer-in","Four-year, medium, highly residential","Doctoral Universities: High Research Activity",""
"145813","Illinois State University","Normal","IL","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Professional-dominant","Very high undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity",""
"151111","Indiana University-Purdue University-Indianapolis","Indianapolis","IN","4-year or above","Public","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"175856","Jackson State University","Jackson","MS","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, inclusive, higher transfer-in","Four-year, medium, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"216366","Jefferson (Philadelphia University + Thomas Jefferson University)","Philadelphia","PA","4-year or above","Private not-for-profit","Professions focus, high graduate coexistence","Postbaccalaureate: Other-dominant, with other professional programs","Majority graduate","Four-year, full-time, more selective, higher transfer-in","Four-year, medium, highly residential","Doctoral Universities: High Research Activity",""
"486840","Kennesaw State University","Kennesaw","GA","4-year or above","Public","Balanced arts & sciences/professions, some graduate coexistence","Research Doctoral: Professional-dominant","Very high undergraduate","Four-year, medium full-time , selective, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity",""
"203517","Kent State University at Kent","Kent","OH","4-year or above","Public","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity",""
"213543","Lehigh University","Bethlehem","PA","4-year or above","Private not-for-profit","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, medium, primarily residential","Doctoral Universities: High Research Activity",""
"159647","Louisiana Tech University","Ruston","LA","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity",""
"117946","Loyola Marymount University","Los Angeles","CA","4-year or above","Private not-for-profit","Arts & sciences plus professions, some graduate coexistence","Research Doctoral: Single program-Education","Majority undergraduate","Four-year, full-time, more selective, higher transfer-in","Four-year, medium, highly residential","Doctoral Universities: High Research Activity",""
"146719","Loyola University Chicago","Chicago","IL","4-year or above","Private not-for-profit","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Comprehensive programs, with medical/veterinary school","Majority undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"239105","Marquette University","Milwaukee","WI","4-year or above","Private not-for-profit","Balanced arts & sciences/professions, some graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, large, highly residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"237525","Marshall University","Huntington","WV","4-year or above","Public","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity",""
"140447","Mercer University","Macon","GA","4-year or above","Private not-for-profit","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Professional-dominant","Majority undergraduate","Four-year, full-time, more selective, higher transfer-in","Four-year, medium, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"204024","Miami University-Oxford","Oxford","OH","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","Very high undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"171128","Michigan Technological University","Houghton","MI","4-year or above","Public","Professions focus, high graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, medium, highly residential","Doctoral Universities: High Research Activity",""
"178411","Missouri University of Science and Technology","Rolla","MO","4-year or above","Public","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, medium, primarily residential","Doctoral Universities: High Research Activity",""
"185590","Montclair State University","Montclair","NJ","4-year or above","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"163453","Morgan State University","Baltimore","MD","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, inclusive, higher transfer-in","Four-year, medium, primarily residential","Doctoral Universities: High Research Activity",""
"188030","New Mexico State University-Main Campus","Las Cruces","NM","4-year or above","Public","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","High undergraduate","Four-year, full-time, inclusive, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"199102","North Carolina A & T State University","Greensboro","NC","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, full-time, inclusive, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"200332","North Dakota State University-Main Campus","Fargo","ND","4-year or above","Public","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity",""
"105330","Northern Arizona University","Flagstaff","AZ","4-year or above","Public","Balanced arts & sciences/professions, some graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","Very high undergraduate","Four-year, full-time, inclusive, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity",""
"147703","Northern Illinois University","Dekalb","IL","4-year or above","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"136215","Nova Southeastern University","Fort Lauderdale","FL","4-year or above","Private not-for-profit","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Professional-dominant","Majority graduate","Four-year, medium full-time , selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"171571","Oakland University","Rochester Hills","MI","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity",""
"204857","Ohio University-Main Campus","Athens","OH","4-year or above","Public","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: Comprehensive programs, with medical/veterinary school","High undergraduate","Four-year, medium full-time , selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity",""
"232982","Old Dominion University","Norfolk","VA","4-year or above","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","High undergraduate","Four-year, medium full-time , selective, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity",""
"243081","Ponce Health Sciences University","Ponce","PR","4-year or above","Private for-profit","Not Classified (Exclusively Graduate Programs)","Research Doctoral: Humanities/social sciences-dominant","Majority graduate","Four-year, full-time, inclusive, higher transfer-in","Four-year, very small, primarily nonresidential","Doctoral Universities: High Research Activity",""
"209807","Portland State University","Portland","OR","4-year or above","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, medium full-time , selective, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"195003","Rochester Institute of Technology","Rochester","NY","4-year or above","Private not-for-profit","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, large, highly residential","Doctoral Universities: High Research Activity",""
"195049","Rockefeller University","New York","NY","4-year or above","Private not-for-profit","Not Classified (Exclusively Graduate Programs)","Research Doctoral: Single program-Other","Exclusively graduate","(Not classified)","Exclusively graduate/professional","Doctoral Universities: High Research Activity",""
"184782","Rowan University","Glassboro","NJ","4-year or above","Public","Balanced arts & sciences/professions, some graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity",""
"186371","Rutgers University-Camden","Camden","NJ","4-year or above","Public","Balanced arts & sciences/professions, some graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, medium, primarily nonresidential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"186399","Rutgers University-Newark","Newark","NJ","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","Majority undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"179159","Saint Louis University","Saint Louis","MO","4-year or above","Private not-for-profit","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: Comprehensive programs, with medical/veterinary school","Majority undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, large, highly residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"122409","San Diego State University","San Diego","CA","4-year or above","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, more selective, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"186584","Seton Hall University","South Orange","NJ","4-year or above","Private not-for-profit","Balanced arts & sciences/professions, some graduate coexistence","Research Doctoral: Professional-dominant","Majority undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, medium, primarily residential","Doctoral Universities: High Research Activity",""
"219356","South Dakota State University","Brookings","SD","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: STEM-dominant","Very high undergraduate","Four-year, full-time, selective, lower transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity",""
"149222","Southern Illinois University-Carbondale","Carbondale","IL","4-year or above","Public","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: Comprehensive programs, with medical/veterinary school","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"228246","Southern Methodist University","Dallas","TX","4-year or above","Private not-for-profit","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","Majority undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, medium, highly residential","Doctoral Universities: High Research Activity",""
"186867","Stevens Institute of Technology","Hoboken","NJ","4-year or above","Private not-for-profit","Professions focus, high graduate coexistence","Research Doctoral: STEM-dominant","Majority undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, medium, highly residential","Doctoral Universities: High Research Activity",""
"196103","SUNY College of Environmental Science and Forestry","Syracuse","NY","4-year or above","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, full-time, more selective, higher transfer-in","Four-year, small, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"196468","Teachers College at Columbia University","New York","NY","4-year or above","Private not-for-profit","Not Classified (Exclusively Graduate Programs)","Research Doctoral: Professional-dominant","Exclusively graduate","(Not classified)","Exclusively graduate/professional","Doctoral Universities: High Research Activity",""
"221838","Tennessee State University","Nashville","TN","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, inclusive, higher transfer-in","Four-year, medium, highly residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"221847","Tennessee Technological University","Cookeville","TN","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: STEM-dominant","Very high undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, medium, primarily nonresidential","Doctoral Universities: High Research Activity",""
"224147","Texas A & M University-Corpus Christi","Corpus Christi","TX","4-year or above","Public","Balanced arts & sciences/professions, some graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, inclusive, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity",""
"228705","Texas A & M University-Kingsville","Kingsville","TX","4-year or above","Public","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, inclusive, higher transfer-in","Four-year, medium, primarily residential","Doctoral Universities: High Research Activity",""
"228875","Texas Christian University","Fort Worth","TX","4-year or above","Private not-for-profit","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","High undergraduate","Four-year, full-time, more selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity",""
"229063","Texas Southern University","Houston","TX","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, inclusive, higher transfer-in","Four-year, medium, primarily nonresidential","Doctoral Universities: High Research Activity",""
"228459","Texas State University","San Marcos","TX","4-year or above","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Professional-dominant","Very high undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity",""
